Population,Individual,Song,pc_1_value,pc_2_value,# km_cats_2_value,# km_cats_3_value,# km_cats_4_value,# km_cats_5_value
,MSG,"T0000005.sel.18.ch01_1,1",-0.134628249,-0.161728737,2,2,2,5
,MSG,"T0000005.sel.18.ch01_1,2",0.180769897,-0.013376414,1,3,3,3
,MSG,"T0000005.sel.06.ch01_1,1",-0.030647948,-0.093988646,2,1,1,5
,MSG,"T0000005.sel.01.ch01_1,1",0.02569496,-0.045848801,1,1,1,5
,MSG,"T0000005.sel.07.ch01_1,1",-0.089028183,-0.105905735,2,2,1,5
,MSG,"T0000005.sel.04.ch01_1,1",0.073195319,-0.076325448,1,3,1,1
,MSG,"T0000005.sel.05.ch01_1,1",0.028725137,-0.053555337,1,1,1,5
,MSG,"T0000005.sel.17.ch01_1,1",-9.15659E-05,-0.049311995,1,1,1,5
,MSG,"T0000005.sel.15.ch01_1,1",-0.068226069,-0.085539034,2,1,1,5
,MSG,"T0000005.sel.14.ch01_1,1",-0.048115061,-0.072296506,2,1,1,5
,MSG,"T0000005.sel.12.ch01_1,1",-0.023316656,-0.053581994,2,1,1,5
,MSG,"T0000005.sel.08.ch01_1,1",0.005893124,-0.038763833,1,1,1,5
,MSG,"T0000005.sel.02.ch01_1,1",0.060154377,-0.015488465,1,1,1,1
,MSG,"T0000005.sel.10.ch01_1,1",0.081232108,-0.018566043,1,3,3,1
,MSG,"T0000005.sel.09.ch01_1,1",0.090881607,0.004768807,1,3,3,1
,MSG,"T0000005.sel.16.ch01_1,1",0.003405568,-0.047863694,1,1,1,5
,MSG,"T0000005.sel.03.ch01_1,1",0.120703117,-0.022000687,1,3,3,1
,MSG,"T0000005.sel.11.ch01_1,1",0.090908894,-0.034958318,1,3,3,1
,MSG,"T0000005_2.sel.01.ch01_1,1",-0.20528822,0.125915361,2,2,2,2
,MSG,"T0000005_2.sel.21.ch01_1,1",-0.233415755,-0.158930372,2,2,2,2
,MSG,"T0000005_2.sel.21.ch01_1,2",0.014464205,-0.14056923,1,1,1,5
,MSG,"T0000005_2.sel.03.ch01_1,1",-0.279094582,0.113034465,2,2,2,2
,MSG,"T0000005_2.sel.12.ch01_1,1",-0.296989294,0.096250619,2,2,2,2
,MSG,"T0000005_2.sel.02.ch01_1,1",-0.106797942,0.178664621,2,1,4,4
,MSG,"T0000005_2.sel.28.ch01_1,1",-0.035592563,-0.179206998,2,1,1,5
,MSG,"T0000005_2.sel.04.ch01_1,1",0.009363895,-0.041415312,1,1,1,5
,MSG,"T0000005_2.sel.15.ch01_1,1",-0.15967288,0.164788971,2,2,4,4
