Group,category,type,Group_full,,,
Mixed Species Group (Exclusive),15,Upsweep,msg,,,
Mixed Species Group (Exclusive),25,Convex,msg,,,
Mixed Species Group (Exclusive),27,Upsweep,msg,,,
Mixed Species Group (Exclusive),33,Sine,msg,,,
Mixed Species Group (Exclusive),37,Sine,msg,,,
Mixed Species Group (Exclusive),38,Sine,msg,,,
Mixed Species Group (Exclusive),49,Sine,msg,,,
Mixed Species Group (Exclusive),51,Sine,msg,,,
Mixed Species Group (Exclusive),57,Upsweep,msg,,,
Mixed Species Group (Exclusive),59,Upsweep,msg,,,
Mixed Species Group (Exclusive),65,Upsweep,msg,,,
Mixed Species Group (Exclusive),66,Upsweep,msg,,,
Mixed Species Group (Exclusive),70,Sine,msg,,,
Mixed Species Group (Exclusive),79,Sine,msg,,,
Mixed Species Group (Exclusive),80,Sine,msg,,,
Mixed Species Group (Exclusive),87,Convex,msg,,,
Mixed Species Group (Exclusive),89,Sine,msg,,,
Mixed Species Group (Exclusive),100,Sine,msg,,,
Mixed Species Group (Exclusive),102,Sine,msg,,,
Mixed Species Group (Exclusive),118,Upsweep,msg,,,
Mixed Species Group (Exclusive),123,Upsweep,msg,,,
Mixed Species Group (Exclusive),128,Sine,msg,,,
Mixed Species Group (Exclusive),130,Sine,msg,,,
Mixed Species Group (Exclusive),133,Sine,msg,,,
Mixed Species Group (Exclusive),137,Convex,msg,,,
Mixed Species Group (Exclusive),138,Upsweep,msg,,,
Mixed Species Group (Exclusive),144,Upsweep,msg,,,
Mixed Species Group (Exclusive),151,Sine,msg,,,
Mixed Species Group (Exclusive),160,Downsweep,msg,,,
Mixed Species Group (Exclusive),169,Sine,msg,,,
Mixed Species Group (Exclusive),172,Sine,msg,,,
Mixed Species Group (Exclusive),177,Concave,msg,,,
Mixed Species Group (Exclusive),180,Sine,msg,,,
Mixed Species Group (Exclusive),181,Sine,msg,,,
Mixed Species Group (Exclusive),182,Convex,msg,,,
Mixed Species Group (Exclusive),193,Sine,msg,,,
Mixed Species Group (Exclusive),194,Sine,msg,,,
Mixed Species Group (Exclusive),196,Convex,msg,,,
Mixed Species Group (Exclusive),198,Sine,msg,,,
Mixed Species Group (Exclusive),200,Upsweep,msg,,,
Mixed Species Group (Exclusive),201,Sine,msg,,,
Mixed Species Group (Exclusive),207,Upsweep,msg,,,
Mixed Species Group (Exclusive),213,Sine,msg,,,
Mixed Species Group (Exclusive),219,Sine,msg,,,
Mixed Species Group (Exclusive),229,Upsweep,msg,,,
Mixed Species Group (Exclusive),233,Sine,msg,,,
Mixed Species Group (Exclusive),234,Upsweep,msg,,,
Mixed Species Group (Exclusive),236,Upsweep,msg,,,
Mixed Species Group (Exclusive),239,Upsweep,msg,,,
Mixed Species Group (Exclusive),247,Sine,msg,,,
Mixed Species Group (Exclusive),250,Upsweep,msg,,,
Mixed Species Group (Exclusive),255,Downsweep,msg,,,
Mixed Species Group (Exclusive),256,Convex,msg,,,
Mixed Species Group (Exclusive),259,Upsweep,msg,,,
Mixed Species Group (Exclusive),273,Downsweep,msg,,,
Mixed Species Group (Exclusive),282,Upsweep,msg,,,
Mixed Species Group (Exclusive),284,Sine,msg,,,
Mixed Species Group (Exclusive),285,Sine,msg,,,
Mixed Species Group (Exclusive),293,Sine,msg,,,
Mixed Species Group (Exclusive),297,Sine,msg,,,
Mixed Species Group (Exclusive),299,Upsweep,msg,,,
Mixed Species Group (Exclusive),300,Sine,msg,,,
Mixed Species Group (Exclusive),305,Convex,msg,,,
Mixed Species Group (Exclusive),311,Upsweep,msg,,,
Mixed Species Group (Exclusive),315,Sine,msg,,,
Mixed Species Group (Exclusive),320,Upsweep,msg,,,
Mixed Species Group (Exclusive),326,Convex,msg,,,
Mixed Species Group (Exclusive),333,Concave,msg,,,
Mixed Species Group (Exclusive),336,Upsweep,msg,,,
Mixed Species Group (Exclusive),337,Downsweep,msg,,,
Mixed Species Group (Exclusive),343,Upsweep,msg,,,
Mixed Species Group (Exclusive),346,Concave,msg,,,
